"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,,,,,,,,,,,,,,";"";23;"";;;
2;"D1,D2,D4";"D_DO-35_SOD27_P7.62mm_Horizontal_CS";3;"1N4148";;;
3;"REF**";"PinHeader_1x01_P1.00mm_Vertical";1;"PinHeader_1x01_P1.00mm_Vertical";;;
4;"LED";"LED_D3.0mm";1;"LED";;;
5;"T5";"TO-92_Inline";1;"BC309B";;;
6;"IC1";"DIP-16_W7.62mm_LongPads";1;"4040";;;
7;"T2,T4,T1,T3";"TO-92_Inline";4;"BC547";;;
8;"D8,D7,D3";"D_DO-35_SOD27_P12.70mm_Horizontal_CS";3;"1N4148";;;
9;"C  2,C  3,C  1";"CP_Axial_L25.0mm_D10.0mm_P30.00mm_Horizontal_CS";3;"330uF 20v";;;
10;"R7";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";1;"100ohm";;;
11;"R1,R3,R2,R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"10k";;;
12;"R8,R6,R10";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";3;"10k";;;
13;"R11,R9";"R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal";2;"1k";;;
14;"EPROM-SOCKEL";"DIP-28_W15.24mm_LongPads";1;"2764";;;
15;"CB1";"SW_NKK_G1xJP";1;"CircuitBreaker_2P";;;
16;"Z2";"D_DO-41_SOD81_P10.16mm_Horizontal_Z2_CS";1;"BZX83C 4V3";;;
17;"IC3";"DIP-14_W7.62mm_LongPads";1;"74LS06N";;;
18;"C6";"C_Disc_D8.0mm_W2.5mm_P5.00mm";1;"10nF";;;
19;"IC2";"DIP-20_W7.62mm_LongPads";1;"74LS373";;;
20;"C  4";"CP_Axial_L25.0mm_D10.0mm_P30.00mm_Horizontal_CS";1;"22uF 70v";;;
21;"D5,D6";"D_DO-35_SOD27_P10.16mm_Horizontal_CS";2;"1N4148";;;
22;"Z1";"D_DO-41_SOD81_P10.16mm_Horizontal_Z1_CS";1;"BZX-79C";;;
23;"IC4";"TO-220-3_Vertical";1;"LM7805_TO220";;;
24;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P15.24mm_Horizontal";1;"670ohm";;;
25;"C5";"C_Disc_D6.0mm_W2.5mm_P5.00mm";1;"10nF";;;
